avg_distance_km,bag_size_kg,bags_available,bags_ordered,batch_id,buyer_type,capacity_per_day,contact,created_at,facilities_count,facility_id,facility_name,farmer_id,farmer_name,farmers_count,fruit_type,inventory_id,last_update_at,order_at,order_id,order_status,price_per_bag,price_per_kg,product_id,qty_kg,region_id,region_name,released_at,source_inventory_id,start_at,status,surplus_kg,table_type
25,,,,,,,,,6,,,,,35,,,,,,,,,,,R-North,North Region,,,,,,region
18,,,,,,,,,8,,,,,42,,,,,,,,,,,R-South,South Region,,,,,,region
30,,,,,,,,,5,,,,,28,,,,,,,,,,,R-East,East Region,,,,,,region
22,,,,,,,,,4,,,,,30,,,,,,,,,,,R-West,West Region,,,,,,region
12,,,,,,,,,2,,,,,15,,,,,,,,,,,R-Central,Central Region,,,,,,region
,,,,,,,13813356886,,,,,F001,Farmer Zhang Wei,,,,,,,,,,,,R-North,,,,,,,farmer
,,,,,,,13842868828,,,,,F002,Farmer Li Ming,,,,,,,,,,,,R-East,,,,,,,farmer
,,,,,,,13828728463,,,,,F003,Farmer Wang Fang,,,,,,,,,,,,R-South,,,,,,,farmer
,,,,,,,13883197857,,,,,F004,Farmer Chen Jing,,,,,,,,,,,,R-North,,,,,,,farmer
,,,,,,,13889254563,,,,,F005,Farmer Liu Yang,,,,,,,,,,,,R-North,,,,,,,farmer
,,,,,,,13814265799,,,,,F006,Farmer Zhao Xin,,,,,,,,,,,,R-West,,,,,,,farmer
,,,,,,,13822575562,,,,,F007,Farmer Sun Lei,,,,,,,,,,,,R-North,,,,,,,farmer
,,,,,,,13841227216,,,,,F008,Farmer Zhou Min,,,,,,,,,,,,R-South,,,,,,,farmer
,,,,,,,13890801586,,,,,F009,Farmer Wu Qiang,,,,,,,,,,,,R-Central,,,,,,,farmer
,,,,,,,13885329037,,,,,F010,Farmer Xu Hua,,,,,,,,,,,,R-North,,,,,,,farmer
,,,,,,,13897226012,,,,,F011,Farmer Ma Lin,,,,,,,,,,,,R-South,,,,,,,farmer
,,,,,,,13866306997,,,,,F012,Farmer Zhu Hong,,,,,,,,,,,,R-Central,,,,,,,farmer
,,,,,,,13870291817,,,,,F013,Farmer Huang Tao,,,,,,,,,,,,R-South,,,,,,,farmer
,,,,,,,13847338124,,,,,F014,Farmer Guo Yan,,,,,,,,,,,,R-Central,,,,,,,farmer
,,,,,,,13831429110,,,,,F015,Farmer Tang Bo,,,,,,,,,,,,R-North,,,,,,,farmer
,,,,,,,13855667651,,,,,F016,Farmer He Xue,,,,,,,,,,,,R-West,,,,,,,farmer
,,,,,,,13830868105,,,,,F017,Farmer Song Kai,,,,,,,,,,,,R-East,,,,,,,farmer
,,,,,,,13855176955,,,,,F018,Farmer Cui Mei,,,,,,,,,,,,R-South,,,,,,,farmer
,,,,,,,13822448136,,,,,F019,Farmer Jiang Feng,,,,,,,,,,,,R-North,,,,,,,farmer
,,,,,,,13822981052,,,,,F020,Farmer Deng Li,,,,,,,,,,,,R-West,,,,,,,farmer
,,,,,,,13856164955,,,,,F021,Farmer Fan Wei,,,,,,,,,,,,R-East,,,,,,,farmer
,,,,,,,13845503389,,,,,F022,Farmer Xie Jun,,,,,,,,,,,,R-Central,,,,,,,farmer
,,,,,,,13871662963,,,,,F023,Farmer Pan Yue,,,,,,,,,,,,R-North,,,,,,,farmer
,,,,,,,13826753883,,,,,F024,Farmer Luo Ning,,,,,,,,,,,,R-Central,,,,,,,farmer
,,,,,,,13820576383,,,,,F025,Farmer Qian Rui,,,,,,,,,,,,R-West,,,,,,,farmer
,,,,,,,13849349722,,,,,F026,Farmer Shi Gang,,,,,,,,,,,,R-Central,,,,,,,farmer
,,,,,,,13858537831,,,,,F027,Farmer Ren Jie,,,,,,,,,,,,R-Central,,,,,,,farmer
,,,,,,,13835808537,,,,,F028,Farmer Zheng Lan,,,,,,,,,,,,R-Central,,,,,,,farmer
,,,,,,,13816150444,,,,,F029,Farmer Kong Yu,,,,,,,,,,,,R-North,,,,,,,farmer
,,,,,,,13848840994,,,,,F030,Farmer Cao Xia,,,,,,,,,,,,R-South,,,,,,,farmer
,,,,,,500,,,,C001,FrostHub North A,,,,,,,,,,,,,,R-North,,,,,,,facility
,,,,,,450,,,,C002,FrostHub North B,,,,,,,,,,,,,,R-North,,,,,,,facility
,,,,,,600,,,,C003,IceBox South Main,,,,,,,,,,,,,,R-South,,,,,,,facility
,,,,,,400,,,,C004,IceBox South Branch,,,,,,,,,,,,,,R-South,,,,,,,facility
,,,,,,480,,,,C005,ColdChain East,,,,,,,,,,,,,,R-East,,,,,,,facility
,,,,,,420,,,,C006,QuickFreeze West A,,,,,,,,,,,,,,R-West,,,,,,,facility
,,,,,,380,,,,C007,QuickFreeze West B,,,,,,,,,,,,,,R-West,,,,,,,facility
,,,,,,550,,,,C008,Central FreezeHub,,,,,,,,,,,,,,R-Central,,,,,,,facility
,,,,,,500,,,,C009,Eastern Frost Facility,,,,,,,,,,,,,,R-East,,,,,,,facility
,,,,,,520,,,,C010,Southern Ice Plant,,,,,,,,,,,,,,R-South,,,,,,,facility
,,,,,,,,2025-10-15,,,,F028,,,Orange,I0001,,,,,,5.28,,,,,,,,,286,inventory
,,,,,,,,2025-10-15,,,,F028,,,Blueberry,I0002,,,,,,19.44,,,,,,,,,192,inventory
,,,,,,,,2025-10-15,,,,F008,,,Cherry,I0003,,,,,,18.64,,,,,,,,,108,inventory
